,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
907,Saboten Mugyo,restaurant,Japanese,40,40,40,14,1938,Jung-gu,4.0,"25-1, Mugyo-dong Wonchang Bldg. 1F, Seoul South Korea"
908,Starbucks Mapo Iljin Bldg.,restaurant,Cafe,40,40,35,19,1940,Dohwa-dong,3.5,"45, Mapo-daero, Mapo-gu 1F, Iljin Bldg., Seoul 04167 South Korea"
909,Starbucks Euljiro Hanguk Bldg.,restaurant,Cafe,35,30,30,23,1972,Myeongdong / Namdaemun,3.5,"50, Eulji-ro, Jung-gu Euljiro Hanguk Bldg., Seoul 04534 South Korea"
910,Starbucks Ewha Womans Univ. ECC,restaurant,Cafe,35,45,40,17,1973,Seodaemun,4.0,"52, Ewhayeodae-gil, Seodaemun-gu Ewha Womans Univ. ECC Bldg., Seoul 03760 South Korea"
911,Starbucks Gongdeok Station,restaurant,Cafe,40,40,40,23,1983,Gongdeok-dong,3.5,"143, Mapo-daero, Mapo-gu, Seoul 04143 South Korea"
912,Abiko Curry Sinsa Garosugil,restaurant,Japanese,35,40,35,16,1984,Garosugil,4.0,"46, Gangnam-daero 152-gil, Gangnam-gu, Seoul 06035 South Korea"
913,Cheondungsori,restaurant,Asian,50,40,45,9,1992,Jongno-gu,4.0,"22-3, Insadong-gil, Jongno-gu, Seoul 03163 South Korea"
914,Sulbing Myeongdong 3-ho,restaurant,Cafe,35,35,30,17,2002,Myeongdong / Namdaemun,3.5,"21, Myeongdong 9-gil, Jung-gu, Seoul 04534 South Korea"
915,Starbucks Bangbae Station,restaurant,Cafe,40,40,30,12,2010,Seocho-gu,4.0,"84, Bangbae-ro, Seocho-gu Yuseong Bldg., Seoul 06665 South Korea"
916,Chebudong Janchijip,restaurant,Asian,45,40,50,8,2023,Jongno-gu,4.5,"16, Jihamun-ro 1-gil, Jongno-gu Seochon, Seoul South Korea"
917,Nolboo Hongdae Store,restaurant,Asian,40,35,35,15,2027,Hongdae,4.0,"354-2 Seogyo-dong, Mapo-gu, Seoul South Korea"
918,Dochi Pizza Gangnam,restaurant,Pizza,35,40,30,19,2038,Gangnam / Nonhyeon / Yeoksam,4.0,"1F, Yeoksam-dong, Gangnam-gu, Seoul 135-908 South Korea"
919,Greek Joy,restaurant,European,40,40,40,12,2044,Hongdae,4.5,"358-36, Seogyo-dong, Mapo-gu 2f, Seoul South Korea"
920,Itaewon Galbi,restaurant,Asian,35,35,25,19,2055,Itaewon,4.0,"112-5, Itaewon-dong, Yongsan-gu, Seoul South Korea"
921,Dalgaebi Jeongdong Store,restaurant,Asian,45,45,40,12,2069,Jung-gu,4.0,"3-7 Jeong-dong, Jung-gu, Seoul 04518 South Korea"
922,Daeseong Dakhanmari,restaurant,Asian,45,35,40,13,2072,Myeongdong / Namdaemun,4.0,"158-5, Cho-dong, Jung-gu, Seoul South Korea"
923,Giku,restaurant,Japanese,45,35,35,16,2074,Yongsan / Samgakji / Ichon,4.0,"301-160, Ichon-dong, Yongsan-gu #31-110, Hyundai Apartment Sangga, Seoul South Korea"
924,Hearth,restaurant,Italian,45,45,45,10,2094,Gangnam / Nonhyeon / Yeoksam,4.5,"Eonju-ro 93-gil, Gangnam-gu, Seoul South Korea"
925,Fukuoka Hambageu Lotte Mall Gimpo Airport,restaurant,Asian,40,30,35,18,2097,Gangseo-gu,4.0,"38, Haneul-gil, Gangseo-gu M Floor, Lotte Mall Gimpo Airport, Seoul 07505 South Korea"
926,Popeyes Chungmuro,restaurant,Fast Food,40,35,40,16,2107,Jung-gu,4.0,"15-7, Pildong2-ga, Jung-gu, Seoul South Korea"
927,Hanchu,restaurant,Asian,40,35,40,31,2115,Sinsa / Garosugil,3.5,"68, Nonhyeon-ro 175-gil, Gangnam-gu, Seoul 06029 South Korea"
928,Yongsusan Biwon,restaurant,Korean,35,35,30,34,2126,Jongno-gu,3.5,"148, Wonseo-dong, Jongno-gu, Seoul South Korea"
929,Urban Knife,restaurant,European,40,40,35,10,2133,Gwangjin-gu,4.0,"85, Guuigangbyeon-ro, Gwangjin-gu, Seoul 05047 South Korea"
930,James Chicago Pizza Myeongdong,restaurant,Pizza,30,35,30,27,2140,Myeongdong / Namdaemun,3.5,"42, Myeongdong 4-gil, Jung-gu, Seoul 04536 South Korea"
931,Starbucks Nowon KT,restaurant,Cafe,40,35,30,18,2146,Nowon-gu,3.5,"502, Nohae-ro, Nowon-gu, Seoul 01752 South Korea"
932,Oppadak Myeongdong Jungang 2,restaurant,Korean,40,35,40,38,2151,Myeongdong / Namdaemun,3.5,"20, Myeongdong 10-gil, Jung-gu, Seoul 04536 South Korea"
933,Kwak Kyung Chan's Sigol Bapsang,restaurant,Asian,35,40,40,58,2159,Hannam-dong,3.5,"235, Itaewon-ro, Yongsan-gu, Seoul 04348 South Korea"
934,Hyeonraejang,restaurant,Asian,40,30,35,13,2164,Mapo-dong,4.0,"140, Mapo-dong, Mapo-gu B1F, Daebo Building, Seoul South Korea"
935,Fukuoka Hamburger,restaurant,American,50,40,40,12,2194,Hongdae,4.0,"6, Wausan-ro29ma-Gil, Seoul 04053 South Korea"
936,Song's Kitchen,restaurant,Bar,45,40,35,17,2197,Jongno-gu,4.0,"168-3, Sinyeong-dong, Jongno-gu, Seoul South Korea"
937,Outback Nowon Store,restaurant,Steakhouse,40,45,40,14,2201,Nowon-gu,4.0,"711-12, Sankye 6-dong, Nowon-gu, Seoul 139-942 South Korea"
938,Saint Augustin,restaurant,Asian,40,40,35,11,2216,Jongno-gu,4.0,"50, Jongno1-Gil, Seoul South Korea"
939,Younghwaroo,restaurant,Chinese,40,35,40,14,2218,Jongno-gu,4.0,"25-1, Nuha-dong, Jongno-gu, Seoul South Korea"
940,Palsun,restaurant,Chinese,40,40,30,12,2229,Jung-gu,4.0,"Jangchung-dong 249 Dongho-ro Hotel Shilla, Seoul 04605 South Korea"
941,Two Two Chicken,restaurant,Fast Food,35,40,30,22,2264,Jung-gu,3.5,"8, Euljiro20-Gil, Seoul South Korea"
942,Gongpyeong Kkomjangeo,restaurant,Asian,30,30,35,25,2269,Insadong,3.5,"29, Ujeongguk-ro, Jongno-gu, Seoul South Korea"
943,PhoDuck,restaurant,Asian,40,40,40,15,2299,Myeongdong / Namdaemun,4.0,"7, Myeongdong 10-gil, Jung-gu, Seoul 04537 South Korea"
944,Hanmiri Daechidong Store,restaurant,Asian,35,40,35,16,2302,Jongno 1.2.3.4 ga-dong,4.0,"968-4 Daechi-dong, Gangnam-gu, Seoul South Korea"
945,Two Bbul Deungsim,restaurant,Asian,40,40,35,8,2312,Jung-gu,4.5,"136, Se Jong-Daero, Seoul South Korea"
946,Jogae Changgo,restaurant,Seafood,45,35,45,18,2321,Doseon-dong,3.5,"331, Wangsimni-ro, Seongdong-gu, Seoul 04715 South Korea"
947,Battery Park Dongdaemun,restaurant,Italian,35,40,35,18,2328,Jung-gu,4.0,"281, Eulji-ro, Jung-gu B2-#201, Dongdaemun Design Plaza, Seoul 04566 South Korea"
948,Cafe dodo&,restaurant,Cafe,45,40,45,10,2348,Jongno-gu,4.5,"119-1 Sogyeok-dong Jongno-gu, Seoul South Korea"
949,Hadan,restaurant,Asian,45,35,40,10,2364,Seongbuk-dong,4.5,"14, Seongbuk-ro 6-gil, Seongbuk-gu, Seoul 02834 South Korea"
950,Hwamok Sundaeguk,restaurant,Asian,45,40,45,9,2375,Yeongdeungpo-gu,4.5,"44-14, Yeouido-dong, Yeongdeungpo-gu 1F, Gyeongdo Sangga, Seoul South Korea"
951,Red Marble House,restaurant,Asian,45,50,35,9,2381,Gangnam / Nonhyeon / Yeoksam,4.5,"408, Nonhyeon-ro, Gangnam-gu, Seoul 06224 South Korea"
952,Dunkin' Donuts,restaurant,Cafe,40,40,40,26,2385,Dongseon-dong,3.5,"1-1 Dongseon-dong 1-ga, Seongbuk-gu, Seoul South Korea"
953,Abiko Curry,restaurant,Japanese,45,40,40,11,2394,Myeongdong / Namdaemun,4.0,"21, Myeongdong 7-gil, Jung-gu, Seoul 04534 South Korea"
954,Sin Bin Sports Pub,restaurant,Pizza,50,50,50,8,2399,Itaewon,5.0,"3rd floor, 132-45 Itaewon-dong, Seoul South Korea"
955,Sinchon Budae Zzigae,restaurant,Asian,40,35,40,15,2404,Seodaemun,4.0,"30-9 Changcheon-dong, Seodaemun-gu, Seoul South Korea"
956,UTSAV Hongdae,restaurant,Indian,35,35,35,21,2410,Hongdae,4.0,"10, Wausan-ro 11-gil, Mapo-gu, Seoul 04049 South Korea"
957,Hooters,restaurant,Bar,25,35,25,35,2417,Gangnam / Nonhyeon / Yeoksam,3.5,"Noveltech Bldg, B1, 201-6 Nonhyeon-Dong, Kangnam-ku, Seoul South Korea"
958,N Burger,restaurant,American,45,40,40,31,2419,Jung-gu,3.5,"105, Namsangongwon-gil, Yongsan-gu N Seoul Tower Plaza 1F, Seoul 04340 South Korea"
959,Starbucks Kunkuk Classic,restaurant,Cafe,35,35,40,15,2425,Gwangjin-gu,3.5,"227-7, Jayang-dong Gwangjin-gu, Seoul 143-884 South Korea"
960,Lotteria Dongdaemun History & Culture Park Station,restaurant,Fast Food,35,35,35,26,2434,Jung-gu,3.5,"18-130, Euljiro 6-ga, Jung-gu, Seoul South Korea"
961,Geumsan Jemyeonso,restaurant,Asian,45,30,30,12,2440,Jung-gu,4.0,"13, Sogong-ro 6-gil, Jung-gu, Seoul 04631 South Korea"
962,Buminok,restaurant,Asian,40,30,30,12,2452,Jung-gu,4.0,"24-5, Dadong-gil, Jung-gu, Seoul 04522 South Korea"
963,Rak'n Wok Yeouido,restaurant,Chinese,35,40,30,30,2457,Yeongdeungpo-gu,3.5,"10, Gukjegeumyung-ro, Yeongdeungpo-gu Ifc L3-#304, Seoul 07326 South Korea"
964,Myeongdong Busanjip,restaurant,Asian,35,40,40,12,2474,Myeongdong / Namdaemun,4.0,"32-7 Myeongdong 2-Ga, Seoul South Korea"
965,Ho Lee Chow Myeongdong,restaurant,Chinese,40,45,35,11,2477,Myeongdong / Namdaemun,4.0,"53, Myeongdong-gil, Jung-gu, Seoul 04538 South Korea"
966,The Jincook Dongdaemun Station,restaurant,Asian,45,35,45,10,2492,Jongno-gu,4.0,"1, Jong-ro 46-gil, Jongno-gu, Seoul 03119 South Korea"
967,10G,restaurant,Cafe,40,40,40,9,2503,Yeongdeungpo-gu,4.0,"10, Gukjegeumyung-ro, Yeongdeungpo-gu Lobby Floor, Seoul 07326 South Korea"
968,Baekseju Maeul Jonggak Store,restaurant,Asian,40,40,35,10,2507,Jongno 1.2.3.4 ga-dong,4.0,"2F 256, Gwancheol-dong, Jongno-gu, Seoul South Korea"
969,Namsangol SanChaeJip,restaurant,Asian,45,45,45,8,2535,Jung-gu,4.5,"8-16 Yejang-dong, Jung-gu, Seoul South Korea"
970,Ogada Anguk,restaurant,Cafe,40,30,35,12,2546,Jongno-gu,4.0,"23, Gyedong-gil, Jongno-gu, Seoul 03059 South Korea"
971,Solnamugil Doenjang Yesul,restaurant,Asian,45,40,45,13,2566,Daehangno,4.0,"9-2, Daehak-ro 11-gil, Jongno-gu, Seoul 03079 South Korea"
972,Harris Coffee Park,restaurant,European,40,40,35,17,2595,Gangnam / Nonhyeon / Yeoksam,3.5,"601-16, Yeoksam-dong, Gangnam-gu, Seoul South Korea"
973,Fradia Cafe & Restaurant,restaurant,Bar,40,35,35,8,2604,Jamwon-dong,4.0,"121-9, Jamwon-dong, Seocho-gu, Seoul South Korea"
974,Saga Ramen Daehangno,restaurant,Japanese,45,35,45,11,2618,Daehangno,4.0,"103-2, Myeongnyun4-ga, Jongno-gu, Seoul South Korea"
975,Coreanos Kitchen Itaewon,restaurant,Mexican,40,35,35,38,2639,Itaewon,3.5,"46, Noksapyeong-daero 40-gil, Yongsan-gu, Seoul 04345 South Korea"
976,Durga Main,restaurant,Indian,35,35,30,14,2663,Jongno 1.2.3.4 ga-dong,3.5,"2F, 24, Jongno1-ga, Jongno-gu, Seoul South Korea"
977,Samgeori Butchers,restaurant,Asian,40,35,25,13,2682,Myeongdong / Namdaemun,4.0,"72, Wausan-ro, Mapo-gu, Seoul 04067 South Korea"
978,buonasera,restaurant,Italian,45,40,35,16,2736,Gangnam-gu,4.0,"650-1, Sinsa-dong, Gangnam-gu, Seoul South Korea"
979,TGI Fridays Daehangno Store,restaurant,American,40,40,35,29,2745,Ihwa-dong,3.5,"1-34 Dongsung-dong, Jongno-gu 3f, Seoul South Korea"
980,Geumwang Donkatsu,restaurant,Japanese,40,35,35,17,2757,Seongbuk-dong,4.0,"256-1, Seongbuk2-dong, Seongbuk-gu, Seoul South Korea"
981,Cafe de ONE PIECE,restaurant,Cafe,30,40,40,17,2760,Hongdae,3.5,"101, Wausan-ro, Mapo-gu, Seoul 04054 South Korea"
982,Goose Island Brewhouse,restaurant,American,30,35,35,21,2770,Gangnam-gu,3.5,"118, Yeoksam-ro, Gangnam-gu, Seoul 06251 South Korea"
983,Donga Naengmyeon,restaurant,Asian,35,30,35,19,2788,Bogwang-dong,3.5,"265-576, Bogwang-dong, Yongsan-gu, Seoul South Korea"
984,Il Vino Rosso,restaurant,Italian,35,35,35,14,2798,Huam-dong,4.0,"340-5, Huam-dong, Yongsan-gu, Seoul South Korea"
985,El Rim Deulkkae Sujebi Noodles Soup,restaurant,Asian,40,35,40,7,2800,Suyu-dong,4.5,"67, Samgaksan-ro, Gangbuk-gu, Seoul 01021 South Korea"
986,Grand Ciel Itaewon,restaurant,Italian,35,35,35,14,2837,Hannam-dong,3.5,"739-4, Hannam-dong, Yongsan-gu, Seoul 140-911 South Korea"
987,Sushi Way Itaewon,restaurant,Japanese,40,40,40,14,2851,Itaewon,4.0,"2-10, Itaewon-ro 20-gil, Yongsan-gu SM Bldg. 6F, Seoul 04391 South Korea"
988,LeTao,restaurant,Cafe,40,40,40,11,2946,Sinsa / Garosugil,4.0,"31 Apgujeong-ro 18-gil, Gangnam-gu, Seoul 06031 South Korea"
989,HO LEE CHOW Apgujeong Store,restaurant,Chinese,35,35,30,25,3001,Gangnam-gu,3.5,"326 Dosan-daero, Gangnam-gu Daedong Tower, Seoul 06055 South Korea"
990,117 Park,restaurant,Barbecue,40,40,30,11,3016,Jongno-gu,4.0,"16 Gyeonghuigung 1-gil, Jongno-gu, Seoul South Korea"
991,Chili King,restaurant,American,40,40,40,21,3128,Itaewon,4.0,"168-3 3rd floor itaewon-dong, Yongsan-gu, Seoul South Korea"
992,Hwaroyeon Myeongdong,restaurant,Asian,35,30,30,36,3172,Myeongdong / Namdaemun,3.5,"21, Myeongdong 9-gil, Jung-gu, Seoul 04534 South Korea"
993,Chef Meili,restaurant,European,45,45,40,11,3178,Itaewon,4.0,"166, Dokseodang-ro, Seongdong-gu, Seoul 04736 South Korea"
994,Appia,restaurant,International,40,35,35,8,3190,Itaewon,4.5,"143-10, Itaewon-ro, Yongsan-gu, Seoul 04351 South Korea"
995,Kimbab Cheongug Yongmun Market Store,restaurant,Fast Food,30,30,40,22,3205,Yongsan / Samgakji / Ichon,3.5,"Yongmun-dong, Yongsan-gu, Seoul South Korea"
996,Upper Deck,restaurant,American,40,45,40,19,3218,Itaewon,4.0,"305-5, Itaewon-dong, Yongsan-gu, Seoul South Korea"
997,Oriental Spoon Apgujung Store,restaurant,Asian,40,45,40,12,3260,Gangnam-gu,4.0,"B1F, 647-24, Sinsa-dong, Gangnam-gu, Seoul South Korea"
998,BUA,restaurant,Asian,35,35,25,21,3261,Itaewon,3.5,"9, Bogwang-ro 59-gil, Yongsan-gu 2f, Seoul 04391 South Korea"
999,Due Cose Hannam,restaurant,Italian,45,45,35,8,3287,Hannam-dong,4.0,"60, Hannam-daero, Yongsan-gu Richensia D-119, Seoul 04419 South Korea"
1000,Phomein Gangnam Center,restaurant,Asian,35,35,30,17,3353,Gangnam / Nonhyeon / Yeoksam,4.0,"10, Teheran-ro 1-gil, Gangnam-gu, Seoul 06134 South Korea"
1001,Caffe Bene  Chungmu-ro Station Store,restaurant,Cafe,40,40,40,13,3368,Myeongdong / Namdaemun,4.0,"40-1, Pil-dong 1-ga, Jung-gu, Seoul South Korea"
1002,Simseuntang,restaurant,Asian,45,40,40,11,3380,Myeongdong / Namdaemun,4.0,"52, Myeongdong-gil, Jung-gu 2f, Seoul 04537 South Korea"
1003,Owl's Cutlet,restaurant,Italian,50,40,40,9,3387,Jung-gu,4.0,"275, Jangchungdan-ro, Jung-gu Foodgallery B1, #105, Seoul 04563 South Korea"
1004,Two Two Chicken,restaurant,Korean,35,35,35,36,3439,Jung-gu,3.5,"13, Toegye-ro18-Gil, Seoul South Korea"
1005,The Sky Farm,restaurant,Korean,45,40,35,21,3460,Yeongdeungpo-gu,3.5,"24, Yeoui-daero, Yeongdeungpo-gu Jeongyeongneyon Heogwan 50th and 51th Floor, Seoul 07320 South Korea"
1006,Hobak Sikdang,restaurant,Barbecue,40,40,45,13,3471,Jung-gu,4.0,"154, Dasan-ro, Jung-gu, Seoul 04590 South Korea"
1007,Goshen Cheongdam,restaurant,Cafe,40,45,30,23,3481,Gangnam-gu,3.5,"18, Seolleung-ro 158-gil, Gangnam-gu, Seoul 06014 South Korea"
1008,Ashley Home Plus Sindorim,restaurant,Barbecue,35,40,35,19,3579,Guro-gu,3.5,"337, Sindorim-dong, Guro-gu B1F, Homeplus, Seoul South Korea"
1009,Gamchon Sundubu,restaurant,Asian,40,35,35,10,3596,Jongno 1.2.3.4 ga-dong,4.0,"19, Jong-Ro, Jongno-Gu Le Meilleur 2F, Seoul 03157 South Korea"
1010,In the Kitcheon,restaurant,Italian,35,40,30,11,3634,Samseongdong / COEX,4.0,"112-19 Samsung-dong, Gangnam-gu 1F Subon Bldg., Seoul South Korea"
1011,Tree Full House,restaurant,Asian,40,35,35,7,3683,Jongno-gu,4.0,"10-2, Gyeonghuigung-gil, Jongno-gu, Seoul 03175 South Korea"
1012,Binari,restaurant,Asian,40,40,35,10,3693,Jongno-gu,4.0,"37, Yulgok-ro 1-gil, Jongno-gu, Seoul South Korea"
1013,Yeongchunok,restaurant,Asian,45,35,35,12,3706,Jongno 1.2.3.4 ga-dong,4.0,"131, Donui-dong, Jongno-gu, Seoul South Korea"
1014,Dduksim Hanu - Gwanghwamun,restaurant,Asian,35,35,35,9,3735,Jongno 1.2.3.4 ga-dong,3.5,"7, Jong-ro 5-gil, Jongno-gu B1, Tower 8, Seoul 03157 South Korea"
1015,Cirilo,restaurant,Mexican,45,30,25,13,3757,Itaewon,4.0,"2-8, Itaewon-ro 20-gil, Yongsan-gu 1F, A One Hotel, Seoul 04391 South Korea"
1016,Villa de spicy,restaurant,Asian,40,30,35,16,3763,Garosugil,3.5,"14-3, Dosan-daero 13-gil, Gangnam-gu, Seoul 06036 South Korea"
1017,Paeti Paeti,restaurant,Fast Food,35,35,30,10,3838,Jung-gu,4.0,"26, Euljiro5-Gil, Seoul South Korea"
1018,JS 가든,restaurant,Chinese,35,35,30,12,3868,Gangnam-gu,4.0,"SB Tower C 1F, 92, Nonhyeon-dong Gangnam-gu, Seoul South Korea"
1019,SamKim Myungdong Store,restaurant,Asian,35,35,35,30,3941,Myeongdong / Namdaemun,3.5,"12-16 Chungmu-ro 2-ga, Chung-gu, Seoul South Korea"
1020,Burger King Noryangjin,restaurant,Fast Food,40,40,35,14,4012,Dongjak-gu,3.5,"169, Noryangjin-ro, Dongjak-gu, Seoul 06902 South Korea"
1021,Egg Talks E-Mart Seongsu,restaurant,Italian,40,40,40,12,4080,Seongdong-gu,4.0,"379, Ttukseom-ro, Seongdong-gu, Seoul South Korea"
1022,School Food,restaurant,Asian,35,40,35,19,4191,Yeongdeungpo-gu,3.5,"10, Gukje Geumyung-Ro, Seoul South Korea"
1023,Todai - Mokdong,restaurant,Japanese,45,45,40,8,4218,Yangcheon-gu,4.0,"Yangcheon-g 401 Mokdongdong-ro B1F, Buyeong Green Town 2-Cha, Seoul 07984 South Korea"
1024,Pomodoro COEX Mall,restaurant,Italian,40,40,40,12,4275,Samseongdong / COEX,4.0,"524, Bongeunsa-ro, Gangnam-gu B1 J107, COEX Mall, Seoul 06164 South Korea"
1025,Palja Makchang Geondae,restaurant,Asian,40,40,35,11,4298,Konkuk University / Children's Grand Park,4.0,"48-20 Hwayang-dong, Gwangjin-gu, Seoul South Korea"
1026,Nobizib,restaurant,Asian,35,35,30,45,4307,Myeongdong / Namdaemun,3.5,"37-8, Myeongdong 9-gil, Jung-gu, Seoul 04534 South Korea"
1027,Caffe Bene  Itaewon Store,restaurant,Cafe,30,35,30,18,4356,Hannam-dong,3.5,"737-4, Hannam-dong, Yongsan-gu, Seoul South Korea"
1028,Hit the Spot Samcheong,restaurant,Italian,35,40,30,12,4383,Jongno-gu,4.0,"74, Bukchon-ro 5-gil, Jongno-gu, Seoul 03053 South Korea"
1029,Babione,restaurant,Asian,50,45,45,8,4441,Banpo-dong,4.5,"194, Sinbanpo-ro, Seocho-gu, Seoul 06545 South Korea"
1030,Cats Living,restaurant,Cafe,35,40,40,19,4443,Hongdae,3.5,"2F 358-111 Seogyo-dong, Mapo-gu, Seoul South Korea"
1031,Papaho Cheongdam,restaurant,Asian,40,30,30,14,4487,Gangnam-gu,3.5,"68-19, Cheongdam-dong, Gangnam-gu 1F, Riverview Officetel, Seoul South Korea"
1032,Palsaek Pork Belly,restaurant,Barbecue,40,45,40,8,4521,Jongno 1.2.3.4 ga-dong,4.0,"17, Jongno8-Gil, Seoul South Korea"
1033,Gogung,restaurant,Asian,40,40,30,19,4522,Myeongdong / Namdaemun,3.5,"37, myeongdong8ga-Gil, Seoul South Korea"
1034,belpiatto,restaurant,Italian,30,40,30,13,4724,Gwangjin-gu,4.0,"227-342, Jayang-dong, Gwangjin-gu, Seoul South Korea"
1035,My x-Wife's Secret Recipe,restaurant,Italian,40,40,35,12,4726,Jung-gu,4.0,"B1F, Seoul Finance Center, 84, Taepyeongno 1-ga, Jung-gu B1, Finance Center Bldg., Seoul South Korea"
1036,Di Matteo,restaurant,Italian,30,30,25,30,4891,Jongno-gu,3.5,"29, Dongsung-gil, Jongno-gu, Seoul 03086 South Korea"
1037,Zzukkumi Bulgogi,restaurant,Asian,45,40,40,7,4900,Myeongdong / Namdaemun,4.0,"3-20 Pil-dong 1-ga, Jung-gu, Seoul South Korea"
1038,Si.Wha.Dam Insadong,restaurant,Asian,35,35,30,16,4998,Insadong,3.5,"13, Insadong-gil, Jongno-gu, Seoul 03162 South Korea"
1039,A to Z Cafe,restaurant,Cafe,30,35,35,7,5009,Jung-gu,3.5,"136 Sejong-daero, Jung-gu Finance Bldg. B2, Seoul 04520 South Korea"
1040,Kimsambo Kimchi-Jjigae,restaurant,Asian,40,35,45,18,5039,Jung-gu,3.5,"250 Ulji-ro 6-ga, Jung-gu, Seoul South Korea"
1041,Sandong Gyoza,restaurant,Asian,45,35,35,11,5066,Myeongdong / Namdaemun,3.5,"22, Myeongdong 2-gil, Jung-gu, Seoul 04535 South Korea"
1042,Mao,restaurant,Chinese,35,40,25,16,5313,Itaewon,3.5,"57, Hoenamu-Ro, Seoul South Korea"
1043,Deobureo Hamgge,restaurant,Asian,45,40,40,6,5410,Daehangno,4.0,"21, Daemyeong 1-gil, Jongno-gu, Seoul South Korea"
1044,Xingkai,restaurant,Chinese,30,30,25,14,5562,Jung-gu,3.5,"84, Taepyeong 1-ga, Jung-gu B2F, Seoul Finance Bldg., Seoul South Korea"
1045,Big Rock,restaurant,Bar,40,40,35,8,5821,Gangnam / Nonhyeon / Yeoksam,4.0,"21, Gangnam-daero 94-gil, Gangnam-gu, Seoul 06129 South Korea"
1046,VIPS Gangnam Station,restaurant,Steakhouse,35,35,30,16,5874,Gangnam / Nonhyeon / Yeoksam,3.5,"408, Gangnam-daero, Gangnam-gu YBM Gangnam Center, Seoul 06134 South Korea"
1047,Cottage Cafe Borie,restaurant,Seafood,35,40,35,11,5986,Itaewon,3.5,"1F 118-23 Itaewon-dong, Yongsan-gu, Seoul South Korea"
1048,Gyedong Mananim,restaurant,Asian,35,30,35,9,6142,Jongno-gu,3.5,"17-1 Anguk-dong, Jongno-gu, Seoul South Korea"
1049,Gobegen Ppei,restaurant,Japanese,40,35,35,6,6382,Samseon-dong,4.0,"203-1, Hyehwa-dong, Jongno-gu, Seoul South Korea"
