,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
789,Chicken In The Kitchen Hongdae Main,restaurant,Korean,50,45,50,13,1276,Hongdae,4.5,"4-42, Wausan-ro 29-gil, Mapo-gu, Seoul 04052 South Korea"
790,Bao,restaurant,Asian,40,45,40,21,1287,Itaewon,4.0,"Unit #102, 658, Itaewon-dong, Yongsan-gu, Seoul 140-861 South Korea"
791,Downtowner - Cheongdam,restaurant,American,45,35,40,10,1290,Gangnam-gu,4.5,"14, Dosan-daero 53-gil, Gangnam-gu, Seoul 06019 South Korea"
792,Retrona Pie,restaurant,American,45,40,40,13,1292,Jongno-gu,4.5,"39, Palpan-gil, Jongno-gu, Seoul 03054 South Korea"
793,Seoul Station Food Court,restaurant,Korean,35,30,35,49,1293,Jung-gu,3.5,"405, Hangang-daero, Yongsan-gu Seoul Station 2F, Seoul 04320 South Korea"
794,Little India Seoul,restaurant,Indian,35,35,30,26,1305,Itaewon,3.5,"137-61 Itaewon 1-dong, Yongsan-gu, Seoul South Korea"
795,Hakrim,restaurant,Cafe,45,40,40,9,1309,Daehangno,4.5,"119, Daehak-ro, Jongno-gu, Seoul 03079 South Korea"
796,Namsan Seolleongtang,restaurant,Asian,40,40,40,16,1315,Jung-gu,4.0,"8-22 Yejang-dong, Jung-gu, Seoul South Korea"
797,Mokpojip,restaurant,Korean,45,35,40,14,1316,Sinsa / Garosugil,4.5,"512-18, Sinsa-dong, Gangnam-gu, Seoul South Korea"
798,My Thai,restaurant,Asian,35,40,35,35,1320,Itaewon,3.5,"123-18, Itaewon-dong, Yongsan-gu, Seoul South Korea"
799,Two Two Chicken,restaurant,Fast Food,40,40,40,64,1321,Myeongdong / Namdaemun,3.5,"20-1, myeongdong7-Gil, Seoul South Korea"
800,Bistro Seoul,restaurant,Korean,40,40,35,25,1324,Samseongdong / COEX,4.0,"159 Samsung-dong, Gangnam-gu Oakwood Premier Coex Center 1F, Seoul South Korea"
801,Heukdonga Gangnam,restaurant,Asian,40,30,30,18,1326,Gangnam / Nonhyeon / Yeoksam,4.0,"133, Seoun-ro, Seocho-gu, Seoul 06618 South Korea"
802,Burger King Konkuk University Station,restaurant,Fast Food,40,45,40,16,1331,Gwangjin-gu,4.0,"256, Achasan-ro , Gwangjin-gu 1F, Starcity Mall, Seoul South Korea"
803,Starbucks Jongno 3-ga,restaurant,Cafe,40,40,35,20,1334,Jongno 1.2.3.4 ga-dong,4.0,"9-3 Jongno 3Ga, Jongno-Gu 1-4f, Seoul 110-123 South Korea"
804,Seasons Table - IFC Mall,restaurant,Asian,35,35,35,32,1350,Yeongdeungpo-gu,4.0,"8 Gukhoe-daero 70-gil, Yeoeuido-dong 3F, IFC Mall, Seoul 07326 South Korea"
805,Ariakke,restaurant,Japanese,40,45,30,19,1354,Jung-gu,4.0,"202, Jangchung-dong 2-ga, Jung-gu 2F, Shilla Hotel, Seoul South Korea"
806,Wangbijib Jongno,restaurant,Asian,40,35,35,14,1357,Jongno 1.2.3.4 ga-dong,4.5,"24, Samil-daero 15-gil, Jongno-gu, Seoul 03190 South Korea"
807,Hongdae Gaemi - Hongdae,restaurant,Japanese,40,35,35,17,1358,Hongdae,4.0,"67-9, Dongmak-ro, Mapo-gu 2F and 3F, Seoul 04049 South Korea"
808,Songjukjang,restaurant,Chinese,40,35,40,29,1360,Yeongdeungpo-gu,3.5,"21, Yeongjung-ro, Yeongdeungpo-gu, Seoul 07301 South Korea"
809,Lawry's The Prime Rib,restaurant,American,45,35,35,37,1364,Gangnam / Nonhyeon / Yeoksam,3.5,"411, Seocho-daero, Seocho-gu 3F, GT Tower, Seoul 06615 South Korea"
810,BBQ Premium Cafe Yeoksam Renaissance,restaurant,Pizza,50,50,50,12,1378,Jung-gu,5.0,"25, Eonju-ro 93-gil, Gangnam-gu, Seoul 06142 South Korea"
